Wavenumber,ImaginaryRefractiveIndex
7718.90293294578,4.919984117824e-05
7718.42080308655,4.910021667072e-05
7717.93867322732,4.900008645504e-05
7717.45654336809,4.889995623936e-05
7716.97441350886,4.900008645504e-05
7716.49228364964,4.910021667072e-05
7716.01015379041,4.919984117824e-05
7715.52802393118,4.919984117824e-05
7715.04589407195,4.910021667072e-05
7714.56376421272,4.900008645504e-05
7714.08163435349,4.910021667072e-05
7713.59950449426,4.919984117824e-05
7713.11737463504,4.929997139392e-05
7712.63524477581,4.919984117824e-05
7712.15311491658,4.919984117824e-05
7711.67098505735,4.910021667072e-05
7711.18885519812,4.919984117824e-05
7710.7067253389,4.94001016096e-05
7710.22459547967,4.95998563328e-05
7709.74246562044,4.95998563328e-05
7709.26033576121,4.94001016096e-05
7708.77820590198,4.919984117824e-05
7708.29607604275,4.910021667072e-05
7707.81394618352,4.929997139392e-05
7707.3318163243,4.95998563328e-05
7706.84968646507,4.980011676416e-05
7706.36755660584,4.980011676416e-05
7705.88542674661,4.980011676416e-05
7705.40329688738,4.969998654848e-05
7704.92116702815,4.95998563328e-05
7704.43903716893,4.950023182528e-05
7703.9569073097,4.929997139392e-05
7703.47477745047,4.919984117824e-05
7702.99264759124,4.910021667072e-05
7702.51051773201,4.910021667072e-05
7702.02838787278,4.910021667072e-05
7701.54625801356,4.929997139392e-05
7701.06412815433,4.94001016096e-05
7700.5819982951,4.950023182528e-05
7700.09986843587,4.950023182528e-05
7699.61773857664,4.950023182528e-05
7699.13560871741,4.950023182528e-05
7698.65347885819,4.950023182528e-05
7698.17134899896,4.950023182528e-05
7697.68921913973,4.95998563328e-05
7697.2070892805,4.969998654848e-05
7696.72495942127,4.969998654848e-05
7696.24282956204,4.95998563328e-05
7695.76069970282,4.94001016096e-05
7695.27856984359,4.919984117824e-05
7694.79643998436,4.910021667072e-05
7694.31431012513,4.910021667072e-05
7693.8321802659,4.919984117824e-05
7693.35005040667,4.929997139392e-05
7692.86792054745,4.929997139392e-05
7692.38579068822,4.919984117824e-05
7691.90366082899,4.910021667072e-05
